task_title,status,branch,worktree_path,archived,created
"INFRA-E01-S02-T03: Install NVIDIA WSL Driver",inprogress,vk/a0a9-infra-e01-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\a0a9-infra-e01-s02-t0,False,2026-01-19T01:37:08
"Install and integrate Vibe Kanban Web Companion",inprogress,vk/6ceb-install-and-inte,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\6ceb-install-and-inte,False,2026-01-19T01:36:42
"ADMIN-E01-S01-T01: Create Admin Route",inreview,vk/4cd4-admin-e01-s01-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\4cd4-admin-e01-s01-t0,False,2026-01-19T15:18:59
"ADMIN-E01-S01-T02: Implement Admin Auth",inreview,vk/6afa-admin-e01-s01-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\6afa-admin-e01-s01-t0,False,2026-01-19T15:19:01
"ADMIN-E01-S01-T03: Build Admin Layout",inreview,vk/9f32-admin-e01-s01-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\9f32-admin-e01-s01-t0,False,2026-01-19T15:19:33
"ADMIN-E01-S02-T01: Build Queue View",inreview,vk/194e-admin-e01-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\194e-admin-e01-s02-t0,False,2026-01-19T15:19:34
"ADMIN-E01-S02-T02: Implement State Filter",inreview,vk/7a99-admin-e01-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\7a99-admin-e01-s02-t0,False,2026-01-19T15:23:06
"ADMIN-E01-S02-T03: Add Sort Options",inreview,vk/9c3e-admin-e01-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\9c3e-admin-e01-s02-t0,False,2026-01-19T15:24:08
"ADMIN-E01-S02-T04: Add Search",inreview,vk/b47c-admin-e01-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\b47c-admin-e01-s02-t0,False,2026-01-19T15:26:10
"ADMIN-E01-S02-T05: Implement Auto-Refresh",inreview,vk/026f-admin-e01-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\026f-admin-e01-s02-t0,False,2026-01-19T15:27:42
"ADMIN-E01-S03-T01: Build Detail View",inreview,vk/7019-admin-e01-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\7019-admin-e01-s03-t0,False,2026-01-19T15:29:44
"ADMIN-E01-S03-T02: Display 28 Measurements",inreview,vk/a87e-admin-e01-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\a87e-admin-e01-s03-t0,False,2026-01-19T15:30:15
"ADMIN-E01-S03-T03: Display Configuration",inreview,vk/5374-admin-e01-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\5374-admin-e01-s03-t0,False,2026-01-19T15:32:17
"ADMIN-E01-S03-T04: Display Customer Info",inreview,vk/c31c-admin-e01-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\c31c-admin-e01-s03-t0,False,2026-01-19T20:42:04
"ADMIN-E01-S03-T04: Display Customer Info",inreview,vk/c7e0-admin-e01-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\c7e0-admin-e01-s03-t0,False,2026-01-19T15:34:48
"ADMIN-E01-S03-T05: Show State History",inreview,vk/468c-admin-e01-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\468c-admin-e01-s03-t0,False,2026-01-19T20:42:07
"ADMIN-E01-S03-T05: Show State History",inreview,vk/b88b-admin-e01-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\b88b-admin-e01-s03-t0,False,2026-01-19T15:36:50
"ADMIN-E01-S04-T01: Build Transition Controls",inreview,vk/6b9c-admin-e01-s04-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\6b9c-admin-e01-s04-t0,False,2026-01-19T15:36:52
"ADMIN-E01-S04-T02: Implement State API Call",inreview,vk/8dc5-admin-e01-s04-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\8dc5-admin-e01-s04-t0,False,2026-01-19T15:37:23
"ADMIN-E01-S04-T03: Add Confirmation Modal",inreview,vk/8212-admin-e01-s04-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\8212-admin-e01-s04-t0,False,2026-01-19T20:42:08
"ADMIN-E01-S04-T03: Add Confirmation Modal",inreview,vk/501e-admin-e01-s04-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\501e-admin-e01-s04-t0,False,2026-01-19T15:42:25
"ADMIN-E01-S04-T04: Add Notes Field",inreview,vk/7dc6-admin-e01-s04-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\7dc6-admin-e01-s04-t0,False,2026-01-19T20:42:10
"ADMIN-E01-S04-T04: Add Notes Field",inreview,vk/b0a0-admin-e01-s04-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\b0a0-admin-e01-s04-t0,False,2026-01-19T15:42:57
"ADMIN-E02-S01-T01: Build Export View",inreview,vk/f606-admin-e02-s01-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\f606-admin-e02-s01-t0,False,2026-01-19T22:09:11
"ADMIN-E02-S01-T02: Add Copy to Clipboard",inreview,vk/fdeb-admin-e02-s01-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\fdeb-admin-e02-s01-t0,False,2026-01-19T22:09:13
"ADMIN-E02-S01-T03: Add Export All",inreview,vk/5009-admin-e02-s01-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\5009-admin-e02-s01-t0,False,2026-01-19T22:09:14
"ADMIN-E02-S01-T04: Generate Optitex Format",inreview,vk/7aa5-admin-e02-s01-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\7aa5-admin-e02-s01-t0,False,2026-01-19T22:09:15
"ADMIN-E02-S02-T01: Build Upload Interface",inreview,vk/c42c-admin-e02-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\c42c-admin-e02-s02-t0,False,2026-01-19T22:14:47
"ADMIN-E02-S02-T02: Validate File Format",inreview,vk/480b-admin-e02-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\480b-admin-e02-s02-t0,False,2026-01-19T22:17:48
"ADMIN-E02-S02-T03: Store Pattern File",inreview,vk/e51c-admin-e02-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\e51c-admin-e02-s02-t0,False,2026-01-19T22:18:50
"ADMIN-E02-S02-T04: Update pattern_files Table",inreview,vk/d96d-admin-e02-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\d96d-admin-e02-s02-t0,False,2026-01-19T22:19:54
"ADMIN-E02-S02-T05: Auto-Transition State",inreview,vk/fc3c-admin-e02-s02-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\fc3c-admin-e02-s02-t0,False,2026-01-19T22:20:55
"ADMIN-E02-S03-T01: Build Email Interface",inreview,vk/4f47-admin-e02-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\4f47-admin-e02-s03-t0,False,2026-01-19T22:22:57
"ADMIN-E02-S03-T02: Implement Email Send",inreview,vk/555e-admin-e02-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\555e-admin-e02-s03-t0,False,2026-01-19T22:24:28
"ADMIN-E02-S03-T03: Mark as Sent",inreview,vk/3cb2-admin-e02-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\3cb2-admin-e02-s03-t0,False,2026-01-19T22:24:59
"ADMIN-E02-S03-T04: Track Delivery",inreview,vk/7cbe-admin-e02-s03-t0,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\7cbe-admin-e02-s03-t0,False,2026-01-19T22:28:01
"API-E01-S01-T01: POST /api/sessions",inreview,vk/b4da-api-e01-s01-t01,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\b4da-api-e01-s01-t01,False,2026-01-20T08:57:54
"API-E01-S01-T02: GET /api/sessions/:id",inreview,vk/f7c2-api-e01-s01-t02,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\f7c2-api-e01-s01-t02,False,2026-01-20T08:57:49
"API-E01-S01-T03: PUT /api/sessions/:id",inreview,vk/100f-api-e01-s01-t03,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\100f-api-e01-s01-t03,False,2026-01-20T08:57:44
"API-E01-S01-T04: POST /api/sessions/:id/claim",inreview,vk/84a5-api-e01-s01-t04,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\84a5-api-e01-s01-t04,False,2026-01-20T08:57:40
"API-E01-S02-T02: POST /api/auth/callback",inreview,vk/5cf1-api-e01-s02-t02,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\5cf1-api-e01-s02-t02,False,2026-01-20T08:57:31
"API-E01-S02-T03: Implement Session Merge",inreview,vk/cad2-api-e01-s02-t03,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\cad2-api-e01-s02-t03,False,2026-01-20T08:57:25
"API-E02-S01-T01: POST /api/configs",inreview,vk/5065-api-e02-s01-t01,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\5065-api-e02-s01-t01,False,2026-01-20T08:57:20
"API-E02-S01-T02: GET /api/configs/:id",inreview,vk/986b-api-e02-s01-t02,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\986b-api-e02-s01-t02,False,2026-01-20T09:12:01
"API-E02-S01-T03: PUT /api/configs/:id",inreview,vk/1c33-api-e02-s01-t03,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\1c33-api-e02-s01-t03,False,2026-01-20T08:57:15
"API-E02-S01-T04: DELETE /api/configs/:id",inreview,vk/db6d-api-e02-s01-t04,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\db6d-api-e02-s01-t04,False,2026-01-20T08:57:06
"API-E02-S01-T05: GET /api/configs/:id/preview",inreview,vk/10f9-api-e02-s01-t05,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\10f9-api-e02-s01-t05,False,2026-01-20T09:11:56
"API-E02-S02-T01: POST /api/wedding-events",inreview,vk/c6a7-api-e02-s02-t01,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\c6a7-api-e02-s02-t01,False,2026-01-20T08:43:37
"API-E02-S02-T02: GET /api/wedding-events/:id",inreview,vk/2629-api-e02-s02-t02,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\2629-api-e02-s02-t02,False,2026-01-20T09:11:48
"API-E02-S02-T03: POST /api/wedding-events/:id/templates",inreview,vk/c2a1-api-e02-s02-t03,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\c2a1-api-e02-s02-t03,False,2026-01-20T08:43:27
"API-E02-S02-T04: POST /api/wedding-events/:id/attendees",inreview,vk/9c6c-api-e02-s02-t04,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\9c6c-api-e02-s02-t04,False,2026-01-20T08:43:21
"API-E02-S02-T05: GET /api/invites/:token",inreview,vk/887f-api-e02-s02-t05,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\887f-api-e02-s02-t05,False,2026-01-20T08:43:13
"API-E02-S02-T06: POST /api/invites/:token/confirm",inreview,vk/d0bd-api-e02-s02-t06,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\d0bd-api-e02-s02-t06,False,2026-01-20T08:43:09
"API-E03-S01-T01: POST /api/orders",inreview,vk/53f6-api-e03-s01-t01,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\53f6-api-e03-s01-t01,False,2026-01-20T08:43:03
"API-E03-S01-T02: GET /api/orders",inreview,vk/6284-api-e03-s01-t02,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\6284-api-e03-s01-t02,False,2026-01-20T08:42:59
"API-E03-S01-T03: GET /api/orders/:id",inreview,vk/83fb-api-e03-s01-t03,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\83fb-api-e03-s01-t03,False,2026-01-20T08:42:54
"API-E03-S01-T04: PATCH /api/orders/:id/state",inreview,vk/7339-api-e03-s01-t04,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\7339-api-e03-s01-t04,False,2026-01-20T08:41:02
"API-E03-S01-T05: Implement State Validation",inreview,vk/0bcf-api-e03-s01-t05,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\0bcf-api-e03-s01-t05,False,2026-01-20T08:40:51
"DB-E01-S01-T02: Create sessions Table",inreview,vk/83d9-db-e01-s01-t02-c,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\83d9-db-e01-s01-t02-c,False,2026-01-19T14:20:25
"DB-E01-S01-T03: Add RLS Policy - Users",inreview,vk/a4eb-db-e01-s01-t03-a,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\a4eb-db-e01-s01-t03-a,False,2026-01-19T14:20:26
"DB-E01-S01-T04: Add RLS Policy - Sessions",inreview,vk/bf11-db-e01-s01-t04-a,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\bf11-db-e01-s01-t04-a,False,2026-01-20T09:02:36
"DB-E01-S02-T01: Create measurements Table",inreview,vk/d0e3-db-e01-s02-t01-c,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\d0e3-db-e01-s02-t01-c,False,2026-01-20T09:02:31
"DB-E01-S02-T03: Create suit_configs Table",inreview,vk/2b69-db-e01-s02-t03-c,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\2b69-db-e01-s02-t03-c,False,2026-01-20T09:02:26
"DB-E01-S02-T04: Seed Initial Fabrics",inreview,vk/ab6f-db-e01-s02-t04-s,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\ab6f-db-e01-s02-t04-s,False,2026-01-19T14:20:28
"DB-E02-S01-T01: Create wedding_events Table",inreview,vk/672c-db-e02-s01-t01-c,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\672c-db-e02-s01-t01-c,False,2026-01-20T09:02:21
"DB-E02-S01-T02: Add Wedding Date Constraint",inreview,vk/5473-db-e02-s01-t02-a,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\5473-db-e02-s01-t02-a,False,2026-01-20T09:02:11
"DB-E02-S01-T03: Create wedding_templates Table",inreview,vk/3008-db-e02-s01-t03-c,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\3008-db-e02-s01-t03-c,False,2026-01-20T09:02:02
"DB-E02-S01-T04: Create wedding_attendees Table",inreview,vk/69e6-db-e02-s01-t04-c,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\69e6-db-e02-s01-t04-c,False,2026-01-20T09:01:57
"DB-E02-S01-T05: Add RLS - Organizer Access",inreview,vk/f2f8-db-e02-s01-t05-a,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\f2f8-db-e02-s01-t05-a,False,2026-01-20T09:01:51
"DB-E03-S01-T01: Create orders Table",inreview,vk/82df-db-e03-s01-t01-c,C:\Users\mathe\AppData\Local\Temp\vibe-kanban\worktrees\82df-db-e03-s01-t01-c,False,2026-01-20T09:01:42
